Bulan;PT;Kebun;Afdeling;Kode Afd;Luas;Pokok;Jjg Akt.;Kg Akt.;Jjg Sns.;Kg Sns.;BJR Akt.;BJR Sns.;Ton/ha Akt.;Ton/ha Sns.;% Cap.;Gap Ton/Ha;Gap %
JUN;FFD;FFD Inti;Rayon 1;RAY-1;1677,81;218379;0;0;211704;3440833;#DIV/0!;16,25;0;2,05;0;-2,05;100
JUN;FFD;FFD Inti;Rayon 2;RAY-2;1742,55;230645;0;0;224518;4134373;#DIV/0!;18,41;0;2,37;0;-2,37;100
JUN;FFD;FFD Plasma;BB1;BB1;612,27;80089;0;0;107747;2017598;#DIV/0!;18,73;0;3,3;0;-3,3;100
JUN;FFD;FFD Plasma;BB2A;BB2-A;39,8;5361;0;0;5642;101308;#DIV/0!;17,96;0;2,55;0;-2,55;100
JUN;FFD;FFD Plasma;BB2B;BB2-B;442;59052;0;0;66179;1121441;#DIV/0!;16,95;0;2,54;0;-2,54;100
JUN;FFD;FFD Plasma;BB3;BB3;14;1971;0;0;2108;42042;#DIV/0!;19,94;0;3;0;-3;100
JUN;FFD;FFD Plasma;BB4;BB4;324,1;43877;0;0;55902;966546;#DIV/0!;17,29;0;2,98;0;-2,98;100
JUN;FFD;FFD Plasma;BB5;BB5;145,15;19235;0;0;29304;454870;#DIV/0!;15,52;0;3,13;0;-3,13;100
JUN;FFD;FFD Plasma;JB1;JB1;521,8;68870;0;0;58562;865391;#DIV/0!;14,78;0;1,66;0;-1,66;100
JUN;FFD;FFD Plasma;JB2;JB2;265,82;38182;0;0;52202;902897;#DIV/0!;17,3;0;3,4;0;-3,4;100
JUN;FFD;FFD Plasma;JB3;JB3;277,6;38497;0;0;55947;937084;#DIV/0!;16,75;0;3,38;0;-3,38;100
JUN;FFD;FFD Plasma;SR;SR;199,9;27072;0;0;38116;693150;#DIV/0!;18,19;0;3,47;0;-3,47;100
JUL;BKB;BKB Inti;Afdeling 1;AFD.1;1451;190109;0;0;133232;2472153;#DIV/0!;18,56;0;1,7;0;-1,7;100
JUL;BKB;BKB Inti;Afdeling 2;AFD.2;1496;195774;0;0;151570;2649190;#DIV/0!;17,48;0;1,77;0;-1,77;100
JUL;BKB;SC Inti;SC Inti;AFD6;393,6;51701;0;0;53967;878712;#DIV/0!;16,28;0;2,23;0;-2,23;100
JUL;BKB;Setarap;Setarap;AFD-8;388,2;51154;0;0;69847;1064188;#DIV/0!;15,24;0;2,74;0;-2,74;100
JUL;BKB;SC Plasma;SC Plasma;AFD-7;196,3;26164;0;0;32809;510112;#DIV/0!;15,55;0;2,6;0;-2,6;100
JUL;BKB;BKB Plasma;SK1;SK1;187,5;24615;0;0;8138;117370;#DIV/0!;14,42;0;0,63;0;-0,63;100
JUL;BKB;BKB Plasma;SK2;SK2;158;20822;0;0;7838;142563;#DIV/0!;18,19;0;0,9;0;-0,9;100
JUL;BKB;BKB Plasma;SKA;SKA;233;30330;0;0;12858;225951;#DIV/0!;17,57;0;0,97;0;-0,97;100
JUL;BKB;BKB Plasma;SKB;SKB;321;43821;0;0;29402;420735;#DIV/0!;14,31;0;1,31;0;-1,31;100
JUL;BKB;BKB Plasma;SKC;SKC;55;7285;0;0;2387;41789;#DIV/0!;17,51;0;0,76;0;-0,76;100
JUL;BKB;BKB Plasma;SBB;SBB;1158,5;156587;0;0;37862;551530;#DIV/0!;14,57;0;0,48;0;-0,48;100
JUL;BKB;BKB Plasma;SMM;SMM;982,75;130420;0;0;36424;451288;#DIV/0!;12,39;0;0,46;0;-0,46;100
JUL;BKB;BKB Plasma;TGS;TGS;416;54374;0;0;16784;195804;#DIV/0!;11,67;0;0,47;0;-0,47;100
JUL;BKB;BKB Plasma;WRJ;WRJ;1051,4;140849;0;0;37667;450339;#DIV/0!;11,96;0;0,43;0;-0,43;100
JUL;BKB;BKB Plasma 1;MTL;MTL;799,68;106447;0;0;30651;554439;#DIV/0!;18,09;0;0,69;0;-0,69;100
JUL;BKB;BKB Plasma 1;SBU;SBU;29,1;4020;0;0;735;11781;#DIV/0!;16,04;0;0,4;0;-0,4;100
JUL;BKB;BKB Plasma 1;TNB;TNB;111,43;14327;0;0;5545;98987;#DIV/0!;17,85;0;0,89;0;-0,89;100
JUL;BKB;BKB Plasma 1;SBH;SBH;495,52;66248;0;0;20383;399471;#DIV/0!;19,6;0;0,81;0;-0,81;100
JUL;FFD;FFD Inti;Rayon 1;RAY-1;1677,81;218379;0;0;170120;2764955;#DIV/0!;16,25;0;1,65;0;-1,65;100
JUL;FFD;FFD Inti;Rayon 2;RAY-2;1742,55;230645;0;0;180416;3322264;#DIV/0!;18,41;0;1,91;0;-1,91;100
JUL;FFD;FFD Plasma;BB1;BB1;612,27;80089;0;0;86582;1621284;#DIV/0!;18,73;0;2,65;0;-2,65;100
JUL;FFD;FFD Plasma;BB2A;BB2-A;39,8;5361;0;0;4534;81408;#DIV/0!;17,96;0;2,05;0;-2,05;100
JUL;FFD;FFD Plasma;BB2B;BB2-B;442;59052;0;0;53179;901158;#DIV/0!;16,95;0;2,04;0;-2,04;100
JUL;FFD;FFD Plasma;BB3;BB3;14;1971;0;0;1694;33783;#DIV/0!;19,94;0;2,41;0;-2,41;100
JUL;FFD;FFD Plasma;BB4;BB4;324,1;43877;0;0;44921;776689;#DIV/0!;17,29;0;2,4;0;-2,4;100
JUL;FFD;FFD Plasma;BB5;BB5;145,15;19235;0;0;23548;365520;#DIV/0!;15,52;0;2,52;0;-2,52;100
JUL;FFD;FFD Plasma;JB1;JB1;521,8;68870;0;0;47059;695403;#DIV/0!;14,78;0;1,33;0;-1,33;100
JUL;FFD;FFD Plasma;JB2;JB2;265,82;38182;0;0;41948;725542;#DIV/0!;17,3;0;2,73;0;-2,73;100
